title,cast,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio
The Festival,", Joe Thomas, Hammed Animashaun, Claudia O'Doherty, Jemaine Clement, Hannah Tointon, Kurt Yaeger, Noel Fielding, Nick Frost",R (Strong Crude Sexual Content|Language Throughout|Drug Use),Comedy,English,Iain Morris,Claire Jones,"Keith Akushie , Joe Parham",,"Feb 4, 2020",,1h 38m,,,
Trolls World Tour,", Anna Kendrick, Justin Timberlake, Rachel Bloom, James Corden, Ron Funches, Kelly Clarkson, Anderson .Paak, Sam Rockwell, George Clinton, Mary J. Blige, Kenan Thompson, Kunal Nayyar, Caroline Hjelt, Aino Jawo, J Balvin, Flula Borg, Ester Dean, Jamie Dornan, Gustavo Dudamel, Ozzy Osbourne",PG (Some Mild Rude Humor),"Kids & family, 
                        
                        Musical, 
                        
                        Comedy, 
                        
                        Adventure, 
                        
                        Fantasy, 
                        
                        Animation",English,Walt Dohrn,Gina Shay,"Jonathan Aibel , Glenn Berger , Maya Forbes , Wallace Wolodarsky , Elizabeth Tippet","Apr 10, 2020 limited","Apr 2, 2020",,1h 31m,Universal Pictures,"Dolby Digital, Dolby Atmos, DTS",Scope (2.35:1)
Primal,", Nicolas Cage, Famke Janssen, Kevin Durand, LaMonica Garrett, Michael Imperioli, Tommy Walker, Rey Hernandez, Drake Shannon, Braulio Castillo Jr., Sewell Whitney",R (Violence and Language),Action,English,Nick Powell,"Daniel Grodnik , Bobby Ranghelov , Luillo Ruiz , Bret Saxon",Richard Leder,"Nov 8, 2019 limited","Nov 8, 2019",,1h 37m,Lionsgate Films,,Scope (2.35:1)
The Courier,", Benedict Cumberbatch, Merab Ninidze, Vladimir Chuprikov, James Schofield, Rachel Brosnahan, Anton Lesser, Jessie Buckley, Miles Richardson",PG-13 (Partial Nudity|Brief Strong Language|Smoking Throughout|Violence),"Mystery & thriller, 
                        
                        History, 
                        
                        Drama",English,Dominic Cooke,"Adam Ackland , Rory Aitken , Ben Browning , Ben Pugh",Tom O'Connor,"Mar 19, 2021 wide","Apr 16, 2021",$6.6M,1h 51m,Lionsgate - Roadside Attractions,,
The Binge,", Vince Vaughn, Skyler Gisondo, Dexter Darden, Eduardo Franco, Grace Van Dien, Zainne Saleh, Esteban Benito, Tony Cavalero, Hayes MacArthur, Eileen Galindo, Marta Piekarz",,Comedy,English,Jeremy Garelick,"Ryan Bennett , Jeremy Garelick , Mickey Liddell , Will Phelps , Michael Schade , Pete Shilaimon , Nicole Stojkovich",Jordan VanDina,,"Aug 28, 2020",,1h 38m,,,Scope (2.35:1)
Daffodils,", Rose McIver, George Mason, Kimbra, Fen Ikner, Stephanie Brown, Tola Newbery, Ben Childs, Tandi Wright, Rochelle Bright",,"Drama, 
                        
                        Biography, 
                        
                        Musical",English (Australia),David Stubbs,"Emily Anderton , Richard Fletcher",Rochelle Bright,,"Apr 7, 2020",,1h 33m,,,
The Cup,", Brendan Gleeson, Stephen Curry, Daniel MacPherson, Jodi Gordon, Bobby Fox, Martin Sacks, Harli Ames, Shaun Micallef, Bill Hunter, Alice Parkinson, Colleen Hewett, Tom Burlinson",PG (Thematic Elements|Language),Drama,English,Simon Wincer,,"Simon Wincer , Eric O'Keefe","May 11, 2012 limited","Feb 18, 2014",,1h 36m,Myriad Pictures,,
Behind You,", Addy Miller, Elizabeth Birkner, Philip Brodie, Jan Broberg, Aimee-Lynn Chadwick, Skyler M. Day, Caroline Labrum, Charan Prabhakar",R (Some Violence|Bloody Images),Horror,English,"Andrew Mecham , Matthew Whedon","Larissa Beck , Jesse Ranney","Andrew Mecham , Matthew Whedon",,"Apr 15, 2020",,1h 26m,,,
Before Midnight,", Ralph Bellamy, June Collyer, Claude Gillingwater Sr.",,Mystery & thriller,English,Lambert Hillyer,,,,,,1h 3m,,,
Bernie the Dolphin 2,", Kevin Sorbo, Patrick Muldoon, Logan Allen, Dahlia Legault, Vincent De Paul, Darla Delgado, Lily Cardone, Ricky Wayne, Lola Sultan, Josué Gutierrez, Wendell Kinney, Tommi Rose",G,"Kids & family, 
                        
                        Comedy",English,Kirk Harris,"Tony Armer , Monika Bacardi , Conrad De La Torres III , Kirk Harris , Andrea Iervolino , Julie McLaughlin , Marty Poole","Terri Emerson , Marty Poole",,"Dec 15, 2019",,1h 39m,,,
Come As You Are,", Maury Sterling, Bobbi Sue Luther, James Marshall, Michelle Harrison, James Russo, Rebecca O'Brien, Jerry Kernion, Barbara Fixx",,Comedy,English,Chuck Rose,,Chuck Rose,,"Aug 7, 2007",,1h 23m,,,
Alive and Kicking,", Jason Flemyng, Antony Sher, Dorothy Tutin, Anthony Higgins, Bill Nighy, Philip Voss, Diane Parish, Aiden Waters, Natalie Roles, Freddy Douglas, Kenneth Tharp, Michael Keegan-Dolan, Ruth Lass, Linda Bassett, Hilary Reynolds, Dickon Tolson, David Ashton, Annabel Leventon, David Phelan, Dugald Bruce Lockhart",R,"Comedy, 
                        
                        Drama",English,Nancy Meckler,Martin Pope,Martin Sherman,,,$294.5K,1h 35m,,Surround,
Hard Night Falling,", Andrea Scarduzio, Brice Martinet, Natalie Burn, Ralph Palka, Dolph Lundgren, Hal Yamanouchi, Mario Opinato, Ruben Rigillo, Sinne Mutsaers",R,"Drama, 
                        
                        Action",English,Giorgio Bruno,"Giorgio Bruno , Giulia De Rosa , Patrizia Fersurella , Daniele Gramiccia , Dolph Lundgren , Paolo Monaci , Giorgio Serafini",Alessandro Riccardi,,"Dec 10, 2019",,1h 26m,,,
Lucky Day,", Olympia Dukakis, Amy Madigan, Chloe Webb, Terence Knox, John Beasley, Allen Hamilton",,Drama,English,Donald Wrye,,,,"Jul 6, 2010",,1h 36m,,,
Slay the Dragon,,PG-13 (Brief Strong Language),Documentary,English,"Chris Durrance , Barak Goodman",Barak Goodman,,,"Apr 3, 2020",,1h 41m,,,
The Peanut Butter Falcon,", Shia LaBeouf, Dakota Johnson, Zack Gottsagen, John Hawkes, Bruce Dern, Thomas Haden Church, Jon Bernthal, YelaWolf, Jake ""The Snake"" Roberts, Mick Foley",PG-13 (Smoking|Language Throughout|Some Violence|Thematic Content),"Comedy, 
                        
                        Drama, 
                        
                        Adventure",English,"Tyler Nilson , Michael Schwartz","Tim Zajaros , Christopher Lemole , Albert Berger , Ron Yerxa","Tyler Nilson , Michael Schwartz","Aug 23, 2019 wide","Aug 27, 2019",$20.5M,1h 36m,Roadside Attractions,,Scope (2.35:1)
Dora and the Lost City of Gold,", Isabela Merced, Eugenio Derbez, Michael Peña, Eva Longoria, Adriana Barraza, Temuera Morrison, Jeffrey Wahlberg, Nicholas Coombe, Madeleine Madden, Danny Trejo, Christopher Kirby, Isela Vega, Benicio del Toro, Sasha Toro, Marc Weiner, Joey Vieira, Pia Miller",PG (Some Impolite Humor|Action),"Kids & family, 
                        
                        Adventure, 
                        
                        Mystery & thriller, 
                        
                        Comedy",English,James Bobin,Kristin Burr,"Nicholas Stoller , Matthew Robinson","Aug 9, 2019 wide","Aug 27, 2019",$60.5M,1h 42m,Paramount Pictures,"Dolby Atmos, DTS",Flat (1.85:1)
Ordinary Love,", Lesley Manville, Liam Neeson, David Wilmot, Amit Shah, Lalor Roddy, Maggie Cronin, Desmond Edwards, Melanie Clark Pullen, Stella McCusker, Geraldine McAlinden",R (Brief Sexuality/Nudity),"Drama, 
                        
                        Romance",English (United Kingdom),"Lisa Barros D'Sa , Glenn Leyburn","Brian J. Falconer , David Holmes , Piers Tempest",Owen McCafferty,"Feb 14, 2020 limited","May 5, 2020",$321.4K,1h 31m,Bleecker Street Media,,Scope (2.35:1)
Are We Done Yet?,", Ice Cube, Nia Long, John C. McGinley, Aleisha Allen, Philip Bolden, Dan Joffre, Tahj Mowry, Pedro Miguel Arce, Alexander Kalugin, Tara Mercurio, Jonathan Katz",PG (Some Innuendos|Brief Language),"Kids & family, 
                        
                        Comedy",English,Steve Carr,"Ice Cube , Matt Alvarez , Ted Hartley , Todd Garner",Hank Nelken,"Apr 4, 2007 wide","Aug 7, 2007",$49.6M,1h 32m,Sony Pictures Entertainment,"Dolby SRD, DTS, SDDS",Flat (1.85:1)
City Slickers,", Billy Crystal, Daniel Stern, Bruno Kirby, Patricia Wettig, Helen Slater, Jack Palance, Noble Willingham, Tracey Walter, Josh Mostel, David Paymer, Bill Henderson, Jeffrey Tambor, Phill Lewis, Kyle Secor, Dean Hallo, Karla Tamburrelli, Yeardley Smith, Jayne Meadows, Alan Charof",PG-13,Comedy,English,Ron Underwood,Irby Smith,"Lowell Ganz , Babaloo Mandel","Jun 7, 1991 original","May 8, 2001",$119.8M,1h 52m,Columbia Pictures,"Surround, Dolby SR",35mm
Elena Undone,", Necar Zadegan, Traci Dinwiddie, Gary Weeks, Sam Harris, Erin Carufel, Connor Kramme, Sabrina Fuster, Mary Jane Wells, Heather Howe",,"Drama, 
                        
                        Romance, 
                        
                        Lgbtq+",English,Nicole Conn,Jane Clark,Nicole Conn,,"Feb 1, 2011",,1h 51m,,,
Free Fall,", Ted Dahle, Chad Bell, Peter Maronge",,"Comedy, 
                        
                        Drama",English,,,,,,,1h 50m,,,
Gayby,", Jenn Harris, Matthew Wilkas, Charlie Barnett, Samantha Buck, Louis Cancelmi, Sarita Choudhury, Christian Coulson, Alycia Delmore, Mike Doyle, Adam Driver, Bridget Everett, Victoire Charles, Corinne Colon",,"Comedy, 
                        
                        Drama, 
                        
                        Lgbtq+",English,Jonathan Lisecki,"Anne Hubbell , Amy Hobby",Jonathan Lisecki,,"Dec 11, 2012",,1h 29m,,,
Safe,", Julianne Moore, Peter Friedman, Xander Berkeley, Susan Norman, Kate McGregor-Stewart, Mary Carver, Steven Gilborn, April Grace, Peter Crombie, Ronnie Farer, Janel Moloney, Lorna Scott, James LeGros",R,Drama,English,Todd Haynes,"Christine Vachon , Lauren Zalaznick",Todd Haynes,"Jun 23, 1995 original","Dec 9, 2014",$15.8K,1h 59m,"Columbia Tristar, 
                        
                        Columbia TriStar Home Video, 
                        
                        Sony Pictures Classics",,
Sordid Lives,", Rosemary Alexander, Bonnie Bedelia, Beau Bridges, Earl Houston Bullock, Delta Burke, Kirk Geiger, Beth Grant, Sarah Hunley, Leslie Jordan, Olivia Newton-John, Ann Walker",R (Sexual Content|Nudity|Language),"Comedy, 
                        
                        Lgbtq+",English,Del Shores,"Victoria Alonso , Max Civon , J. Todd Harris , Sharyn Lane , Steve Cubine","Del Shores , Del Shores","May 11, 2001 wide","Sep 2, 2003",$1.0M,1h 51m,"Regent Entertainment [us], 
                        
                        here! Films","Surround, Dolby Stereo",Flat (1.85:1)
The Last Stand,", Bob Baker, Constance Moore, Fuzzy Knight, Earle Hodgins, Forrest Taylor, Glenn Strange, Sam Flint, Jimmy Phillips, Jack Kirk",,Western,English,Joseph H. Lewis,Paul Malvern,"Harry O. Hoyt , Norton S. Parker","Apr 1, 1938 original","May 29, 2007",,56m,,,
Ultraviolet,", Jack Davenport, Susannah Harker, Idris Elba, Philip Quast",,,,Joe Ahearne,,,,,,,,,
Were The World Mine,", Tanner Cohen, Wendy Robie, Judy McLane, Zelda Williams, Jill Larson, Ricky Goldman, Nathaniel David Becker, Christian Stolte, David Darlow",,"Musical, 
                        
                        Comedy, 
                        
                        Fantasy",English,Tom Gustafson,"Tom Gustafson , Cory James Krueckeberg , Peter Sterling","Tom Gustafson , Cory James Krueckeberg","Nov 21, 2008 limited","Feb 2, 2010",$103.1K,1h 36m,,,
The Wretched,", Nawazuddin Siddiqui, Shweta Tripathi, Irrfan Khan, Harish Khanna, Mohd Samad, Trimala Adhikari",,Drama,Hindi,Shlok Sharma,"Siddhanta Ashdhir , Guneet Monga , Arun Rangachari , Varun Ralliaram",Shlok Sharma,,"Apr 4, 2017",,2h 18m,,,
Bull,", Craig Lauzon, Lindsey Deluce, Simon Reynolds, Maury Chaykin, Jeff Seymour, Lori Hallier, Ellen Dubin, Talia Russo",,"Comedy, 
                        
                        Drama",English,Kent Tessman,,Kent Tessman,,"Oct 5, 2010",,1h 39m,,,
In My Skin,", Marina de Van, Laurent Lucas, Léa Drucker, Thibault de Montalembert, Dominique Reymond, Bernard Alane, Marc Rioufol, Francois Lamotte, Adrien de Van, Alain Rimoux",,Drama,French (Canada),Marina de Van,Laurence Farenc,Marina de Van,"Nov 7, 2003 wide","Apr 20, 2004",$31.0K,1h 33m,Wellspring Cinema,"Dolby SR, Dolby Digital",Flat (1.85:1)
The Flood,", Waveney Lee, Christopher Ellis, Leslie Hart, Ian Ellis, Frank Knight, Liz Gold, Jonathan Bergman, Edward Martin",,"Kids & family, 
                        
                        Adventure",English (United Kingdom),Frederic Goode,"Terry Ashwood , Lionel Hoare","Jean Scott Rogers , Frank Wells",,,,1h 0m,,,
Good Deeds,", Tyler Perry, Thandiwe Newton, Gabrielle Union, Phylicia Rashad, Brian White, Rebecca Romijn, Jamie Kennedy, Eddie Cibrian, Jordenn Thompson, Beverly Johnson, Andrew Masset, Victoria Loving, Tom Thon, Susan Shalhoub Larkin",PG-13 (Some Violence|Sexual Content|Language|Thematic Material),"Drama, 
                        
                        Romance",English,Tyler Perry,"Tyler Perry , Ozzie Areu , Paul Hall",Tyler Perry,"Feb 24, 2012 wide","Jun 12, 2012",$35.0M,1h 51m,Lions Gate Entertainment,,
Own the Sky,", David Mayman, Saschi Mayman, William Suitor, Nelson Tyler",,Documentary,English (Australia),Gregory Read,"Ellenor Cox , Marcus Gillezeau , Gregory Read",Gregory Read,,"May 13, 2019",,1h 30m,,,
Rattlesnakes,", Jimmy Jean-Louis, Jack Coleman, Kathleen McClellan, Jay Acovone, Christian Oliver, Rya Kihlstedt, Robinne Lee, Kyra Jean-Louis",,Mystery & thriller,English,Julius Amedume,Jimmy Jean-Louis,Julius Amedume,,"May 6, 2019",,1h 25m,,,
The Last Full Measure,", Sebastian Stan, Christopher Plummer, William Hurt, Ed Harris, Samuel L. Jackson, Bradley Whitford, Jeremy Irvine, Alison Sudol, Michael Imperioli, Linus Roache, Peter Fonda, John Savage, Diane Ladd, Amy Madigan, Robert Pine, Max Gail, LisaGay Hamilton, Bruce MacVittie",R (War Violence|Language),"War, 
                        
                        Drama",English,Todd Robinson,"Julian Adams , Michael Bassick , Timothy Scott Bogart , Nicholas Cafritz , Adi Cohen , Mark Damon , Pen Densham , Robert Reed Peterson , Jordi Rediu , Shaun Sanghani , Lauren Selig , John Watson",Todd Robinson,"Jan 24, 2020 wide","Apr 7, 2020",$2.9M,1h 56m,Roadside Attractions,,Scope (2.35:1)
The Assistant,", Gil Bellows, Kate Greenhouse, Armin Mueller-Stahl, Joan Plowright, Jaimz Woolvett, Dick Callahan, Darlene Mignacco, Frank Moore, Alon Nashman, Michael Ricupero, Nicholas VanBurek",,Drama,English,Daniel Petrie,"Paul Brown , Jon Slan , Daniel Petrie",,,,,1h 46m,,,
Ana,", Mantra Mugdh, Sukanya Basu, Adolina Chakrabarty, Shimona Mathur",,"Drama, 
                        
                        Fantasy",Bangla,Debojyoti Lahiri,,,,,,20m,,,
The Current Occupant,", Barry Watson, Sonita Henry, Kate Cobb, Ezra Buzzington, Joshua Burge, Dana Cornelius, Dean Sharpe",,Horror,English,Julius Ramsay,,Alston Ramsay,,"Jul 17, 2020",,1h 30m,,,
The Pickup Game,", Nikolaos Brahimllari",,Documentary,English,"Matthew O'Connor , Barnaby O'Connor","James De'Val , Mike Willoughby","Barnaby O'Connor , Matthew O'Connor",,"Jul 1, 2020",,1h 36m,,,Flat (1.85:1)
The Wolf Hour,", Naomi Watts, Jennifer Ehle, Emory Cohen, Kelvin Harrison Jr., Jeremy Bobb, Brennan Brown, Sean Pilz, Maritza Veer, Angel Christian Roman",R (Language|Brief Sexuality/Nudity),Mystery & thriller,English,Alistair Banks Griffin,"Bailey Conway , Brian Kavanaugh-Jones , Bradley Pilz",Alistair Banks Griffin,"Dec 6, 2019 limited","Mar 10, 2020",,1h 39m,Brainstorm Media,,Scope (2.35:1)
We Are Freestyle Love Supreme,", Utkarsh Ambudkar, Andrew Bancroft, James Monroe Iglehart, Chris Jackson, Thomas Kail, Arthur Lewis, Lin-Manuel Miranda, Bill Sherman",,"Documentary, 
                        
                        Music",English,Andrew Fried,"Andrew Fried , Thomas Kail , Lin-Manuel Miranda",Brian Anton,,"Jun 5, 2020",,1h 30m,,,
The Weekend,", Daron Greene, Dwayne Hurt, Kevin Nivek B, TwizalCobra",,Mystery & thriller,English,Dwayne Hurt,Dwayne Hurt,Dwayne Hurt,,,,1h 12m,,,
My Scientology Movie,", Louis Theroux, Marc Headley, Steven Mango, Stacia Roybal, Sam Lucas Smith, Conner Stark",,Documentary,English,John Dower,Simon Chinn,"Louis Theroux , John Dower","Mar 10, 2017 limited","Mar 10, 2017",$22.4K,1h 39m,Magnolia Pictures,,
Superpower Dogs,", Chris Evans",G,Documentary,English (United Kingdom),Daniel Ferguson,"Taran Davies , George Duffield , Dominic Cunningham-Reid , Daniel Ferguson",Daniel Ferguson,"Mar 15, 2019 limited","Jul 11, 2020",,47m,,,
The Secret of Life on Earth,", Patrick Stewart",,Documentary,English,,Christopher Parsons,,,"Nov 13, 2007",,42m,,,
The Other Lamb,", Raffey Cassidy, Michiel Huisman, Denise Gough, Ailbhe Cowley, Eve Connolly, Isabelle Connolly, Jane Herbert, Kelly Campbell",,"Drama, 
                        
                        Horror",English,Małgorzata Szumowska,"Marie Gade Denessen , David Lancaster , Tristan Lynch , Aoife O'Sullivan",Catherine S. McMullen,"Apr 3, 2020 limited","Apr 1, 2020",$6.0K,1h 37m,IFC Midnight,,
The Whistlers,", Vlad Ivanov, Catrinel Marlon, Agustí Villaronga, István Teglas, Cristóbal Pinto, George Pistereanu, Andrei Ciopec, Sergiu Costache, Julieta Szonyi, Rodica Lazar, Antonio Buil, Sabin Tambrea",,"Comedy, 
                        
                        Drama, 
                        
                        Mystery & thriller",Romanian,Corneliu Porumboiu,"Patricia Poienaru , Marcela Ursu , Tudor Mircea , Sylvie Pialat",Corneliu Porumboiu,"Feb 28, 2020 limited","Apr 1, 2020",$55.1K,1h 38m,Magnolia Pictures,,Scope (2.35:1)
Citizen Soldier,", Toni Basil, Dean Stockwell, Bill Gray",,"Action, 
                        
                        Drama",English,Michael Elsey,,,,,,1h 28m,,,
Rebel in the Rye,", Nicholas Hoult, Kevin Spacey, Sarah Paulson, Hope Davis, Victor Garber, Zoey Deutch, Lucy Boynton, Brian d'Arcy James, Adam Busch, James Urbaniak, Eric Bogosian, Anna Bullard",PG-13 (Sexual References|Language|Smoking Throughout|Some Violence|Thematic Elements),"Biography, 
                        
                        History, 
                        
                        Drama",English,Danny Strong,"Bruce Cohen , Jason Shuman , Danny Strong , Molly Smith , Thad Luckinbill , Trent Luckinbill",Danny Strong,"Sep 8, 2017 limited","Jan 2, 2018",$376.7K,1h 46m,IFC Films,,
The Cured,", Elliot Page, Sam Keeley, Tom Vaughan-Lawlor, Stuart Graham, Peter Campion, Natalia Kostrzewa, Frank Cannon, Lesley Conroy",R (Violence|Language|Bloody Images),"Horror, 
                        
                        Mystery & thriller, 
                        
                        Drama",English,David Freyne,"Rory Dungan , Rachael O'Kane , Elliot Page",,"Feb 23, 2018 limited","Jul 5, 2018",$5.3K,1h 35m,IFC Films,,
The Gallows Act II,", Ema Horvath, Chris Milligan, Brittany Falardeau, Dennis Hurley, Erika Miranda, Jono Cota, Anthony Jensen, Jener Dasilva",R (Disturbing Violent Content),"Horror, 
                        
                        Mystery & thriller",English,"Travis Cluff , Chris Lofing","Jason Blum , Guymon Casady , Travis Cluff","Travis Cluff , Chris Lofing","Oct 25, 2019 limited","Oct 25, 2019",,1h 39m,Lionsgate Films,,
The Postcard Killings,", Jeffrey Dean Morgan, Famke Janssen, Naomi Battrick, Cush Jumbo, Joachim Król, Eva Röse, Lukas Loughran, Steven Mackintosh",,Mystery & thriller,English,Danis Tanovic,"Tracey Edmonds , Leopoldo Gout , Peter Nelson","Liza Marklund , Andrew Stern","Mar 13, 2020 limited","Mar 13, 2020",,1h 44m,RLJE Films,,
Carrion,", Paulina Dávila, Andrés Almeida, David Palacios, Sebastián Aguirre, Danae Reynaud",,"Drama, 
                        
                        Mystery & thriller",Spanish,,Sebastián Hiriart,"Sebastián Hiriart , Ernesto Anaya",,"Sep 6, 2019",,1h 13m,,,
Wild Nights With Emily,", Molly Shannon, Amy Seimetz, Susan Ziegler, Brett Gelman, Jackie Monahan, Kevin Seal, Dana Melanie, Sasha Frolova, Lisa Haas",PG-13 (Sexual Content),"Comedy, 
                        
                        Lgbtq+",English,Madeleine Olnek,"Anna Margarita Albelo , Casper Andreas , Madeleine Olnek , Max Rifkind-Barron",Madeleine Olnek,"Apr 12, 2019 limited","Feb 11, 2020",$519.2K,1h 24m,Greenwich Entertainment,,
The Rape of Recy Taylor,", Tommy Bernardi, Cynthia Erivo, Tom Gibbs, Jack Kyser, John L. Payne",,Drama,English,Nancy Buirski,"Nancy Buirski , Claire L. Chandler , Beth Hubbard , Susan Margolin",Nancy Buirski,"Dec 8, 2017 limited","Mar 20, 2018",,1h 31m,Self Distributed,,
Buffaloed,", Zoey Deutch, Judy Greer, Jai Courtney, Noah Reid, Lusia Strus, Jayne Eastwood, Jermaine Fowler, Raymond Ablack, Brian Sacca, Lorrie Odom, Ted Ludzik",,Comedy,English,Tanya Wexler,"Zoey Deutch , John Finemore , Jeffrey Katz , Bannor Michael MacGregor , Mason Novick",Brian Sacca,"Feb 14, 2020 limited","Feb 14, 2020",$29.0K,1h 35m,Magnolia Pictures,,
Crawl,", Georgina Haig, George Shevtsov, Paul Holmes, Catherine Miller, Lauren Dillon, Bob Newman, Lynda Stoner, Andy Barclay, Paul Bryant, William Garvey, Penny Anne Hoffmann, Baz McAlister, John Rees-Osborne",,"Crime, 
                        
                        Drama, 
                        
                        Mystery & thriller",English,Paul China,"Brian J. Breheny , Benjamin China",Paul China,,"Dec 1, 2015",,1h 20m,,,
The Dustwalker,", Jolene Anderson, Stef Dawson, Talina Naviede, Harry Greenwood, Ryan Allen, Chloe Brown, Nina Deasley, Sam Dudley, Ruby Duncan, Cassandra Magrath, John Harvie Morris, Ben Mortley, Alexandra Nell",,"Drama, 
                        
                        Sci-fi",English (Australia),Sandra Sciberras,"Grace Luminato , Megan Wynn",Sandra Sciberras,,"Mar 16, 2020",,1h 35m,,,
Eye In The Sky,", Dame Helen Mirren, Aaron Paul, Alan Rickman, Barkhad Abdi, Iain Glen, Richard McCabe, Jeremy Northam, Phoebe Fox, Carl Beukes, Kim Engelbrecht, Aisha Takow, Lex King",R (Some Violent Images|Language),"Mystery & thriller, 
                        
                        War, 
                        
                        Drama",English,Gavin Hood,"David Lancaster , Colin Firth , Ged Doherty",Guy Hibbert,"Apr 1, 2016 wide","Jun 28, 2016",$18.7M,1h 42m,Bleecker Street Media,,
Good Boy,", Judy Greer, Steve Guttenberg, Ellen Wong, Elise Neal, Maria Conchita Alonso, McKinley Freeman, Mina Joo, Tatum Price",,"Horror, 
                        
                        Mystery & thriller",English,Tyler MacIntyre,Tevin Adelman,"Aaron Eisenberg , Will Eisenberg",,"Jun 12, 2020",,1h 30m,,,
LA 92,", Tom Bradley, Tom Brokaw, Bill Clinton, Henry Alfaro, Danny Bakewell, John D. Barnett, Michael Bostic",R (Language|Disturbing Violence|Bloody Images),Documentary,English,"Dan Lindsay , T.J. Martin","Jonathan Chinn , Simon Chinn , Sarah Gibson",,"Apr 28, 2017 limited","May 4, 2017",,1h 54m,National Geographic Documentary Films,,
A Beautiful Planet,", Jennifer Lawrence",G,Documentary,English,Toni Myers,Toni Myers,Toni Myers,"Apr 29, 2016 limited","Jun 11, 2020",$15.7M,45m,Walt Disney,,
Destiny in Space,", Leonard Nimoy, Roberta L. Bondar, Ronald J. Grabe, David C. Hilmers, Ulf D. Merbold, Stephen S. Oswald, William F. Readdy, Norman E. Thagard",,Documentary,English,"Ben Burtt , Phyllis Ferguson , James Neihouse , Gail Singer",Graeme Ferguson,Toni Myers,,"Nov 6, 2007",,40m,,,
Fires of Kuwait,", Rip Torn",,Documentary,English,David Douglas,Sally Dundas,,"Jan 1, 1992 wide","Nov 6, 2007",,36m,IMAX Corporation,,
Galapagos,,,,,Gail Willumsen,,,,,,,,,
Into the Deep,", Kate Nelligan",,Documentary,English,Howard Hall,Graeme Ferguson,,,"Nov 13, 2007",,39m,,,
Journey to the South Pacific,", Cate Blanchett",G,Documentary,English,"Greg MacGillivray , Stephen Judson","Shaun MacGillivray , Mark Krenzien",Stephen Judson,"Nov 27, 2013 original","Jun 11, 2020",$7.6M,40m,"MacGillivray Freeman Films, 
                        
                        IMAX",,1.43:1
Pandas,", Kristen Bell",G,Documentary,English,"David Douglas , Drew Fellman","Drew Fellman , Donald Kushner , Steve Ransohoff",Drew Fellman,"Apr 6, 2018 limited","Apr 9, 2019",$2.9M,40m,Warner Bros.,,
Space Station,", Tom Cruise, Leroy Chiao, Kenneth D. Cockrell, Robert L. Curbeam Jr., Brian Duffy, Michael L. Gernhardt, Yuri Pavlovich Gidzenko, Umberto Guidoni, Chris A. Hadifield, Susan J. Helms, Charles Owen Hobaugh, Marsha Ivins, Thomas D. Jones, Janet Lynn Kavandi, James M. Kelly, Sergei Krikalev, Steven W. Lindsey, Yuri Valentinovich Lonchakov, Pamela Ann Melroy, Mark L. Polansky",,Documentary,English,Toni Myers,Toni Myers,,"Apr 17, 2002 original","Dec 19, 2017",$93.4M,47m,IMAX Corporation,DTS,
Survival Island,", Billy Zane, Kelly Brook, Juan Pablo Di Pace, Gabrielle Jourdan, Todd Collins, Gary Brockette, Isabelle Constantini, Roy Rivera",,Mystery & thriller,English,Stewart Raffill,"Jimmy de Brabant , Michael Dounaev , Albert Martinez Martin , Heinz Thym , Robert Velo",Stewart Raffill,,"Nov 30, 2016",,1h 32m,,,
Frankie,", Julia Rose, Raine Schrader, Emma Higgins, Aiden Grauman, Ty Szafranski, Sophie Bolen, Tyler Bright, Jillian Bright",,"Fantasy, 
                        
                        Horror",English,Josh Martin,"Josh Martin , Andy Westra",Josh Martin,,,,22m,,,
And We Go Green,,,Documentary,English,"Fisher Stevens , Malcolm Venville","Leonardo DiCaprio , Fisher Stevens , Zakaria Alaoui , Zara Duffy , Christopher St. John , James Uminowicz , Jennifer Davisson Killoran",Mark Monroe,,"Jun 4, 2020",,1h 39m,,,
Miss Snake Charmer,", Alyssa Soles",,Documentary,English,Emalee Arroyo,,,"Oct 5, 2018 limited","Jan 21, 2020",,1h 8m,,,
A Beautiful Day in the Neighborhood,", Tom Hanks, Matthew Rhys, Susan Kelechi Watson, Chris Cooper, Enrico Colantoni, Maryann Plunkett, Tammy Blanchard, Noah Harpster, Wendy Makkena, Sakina Jaffrey, Carmen Cusack, Kelley Davis, Christine Lahti, Maddie Corman, Jessica Hecht, Daniel Krell",PG (Some Mild Language|A Brief Fight|Some Strong Thematic Material),"Biography, 
                        
                        Drama",English,Marielle Heller,"Youree Henley , Peter Saraf , Marc Turtletaub , Leah Holzer","Noah Harpster , Micah Fitzerman-Blue , Tom Junod","Nov 22, 2019 wide","Nov 22, 2019",$61.7M,1h 47m,"Sony Pictures Entertainment, 
                        
                        TriStar Pictures",,Flat (1.85:1)
Almost Adults,", Elise Bauman, Natasha Negovanlis, Winny Clarke, Justin Gerhard, Delphine Roussel, Christina Song, David John Phillips, Meredith Heinrich, Mark Matechuk, Daryl Marks, Pujaa Pandey",,"Comedy, 
                        
                        Drama, 
                        
                        Lgbtq+",English,Sarah Rotella,Rebecca Swift,Adrianna DiLonardo,,"Mar 7, 2017",,1h 30m,,,
