Title,Genres,Runtime,Rating,Director,Age rating,Year,Cast,Amazon Prime Video,Disney Plus,Hulu,Netflix
Designing Women,Comedy,25min,77%  7.2 (6k),,TV-14,(1986),", Dixie Carter, Annie Potts, Meshach Taylor, Jan Hooks, Judith Ivey",2 Seasons ,,7 Seasons HD ,
The Affair,"Drama, Romance",59min,80%  7.9 (46k),Amir Ramses,TV-MA,(2014),", Khaled El Nabawy, Aïcha Ben Ahmed, Sally Shahin, Omar El Shenawy, Mourad Makram, Nour Mahmoud, Ramzy El Adl, Hesham ElShazly, Salwa Mohamed Ali, Reema Mostafa, Amr Saleh, Ahmed Abou Zeid, Zeyad El Nabawy",5 Seasons HD ,,,
Lethal Weapon,"Drama, Action & Adventure, Crime, Comedy, Mystery & Thriller",43min,84%  7.8 (38k),,TV-14,(2016),", Damon Wayans, Seann William Scott, Keesha Sharp, Kevin Rahm, Dante Brown, Chandler Kinney, Johnathan Fernandez, Michelle Mitchenor",,,3 Seasons HD ,
BEM,"Action & Adventure, Animation, Science-Fiction, Horror",24min,69%  6.0,,,(2019),", Mao Ichimichi, Katsuyuki Konishi, Kensho Ono, Maaya Uchida, Maaya Sakamoto, Daisuke Ono, Junichi Suwabe, Soma Saito, Natsumi Takamori, Yukiko Morishita, Koutaro Nishiyama, Kenji Nomura",,,1 Season HD ,
Cop Craft,"Animation, Action & Adventure, Science-Fiction, Crime",23min,75%  6.6,,TV-MA,(2019),", Kenjiro Tsuda, Mayu Yoshioka, Satoshi Tsuruoka, Wataru Takagi, Marina Inoue, Fumiko Orikasa, Masaya Matsukaze, Kenji Hamada, Mai Nakahara",,,1 Season HD ,
The Ones Within,"Animation, Comedy, Drama, Science-Fiction, Mystery & Thriller",24min,71%  6.3,,,(2019),", Manaka Iwami, Daiki Yamashita, Akari Kito, Takuma Terashima, Kenjiro Tsuda, Koki Uchiyama, Tasuku Hatanaka, Kaori Nazuka, Takuya Sato",,,1 Season HD ,
ASTRA LOST IN SPACE,"Action & Adventure, Science-Fiction, Animation",27min,86%  8.0 (1k),,TV-14,(2019),", Inori Minase, Yoshimasa Hosoya, Naoki Tatsuta, Nobunaga Shimazaki, Hina Kino, Risae Matsuda, Tomoyo Kurosawa, Koki Uchiyama, Saori Hayami, Shunsuke Takeuchi",,,1 Season HD ,
Big Little Lies,"Drama, Crime",50min,89%  8.5 (184k),,TV-MA,(2017),", Nicole Kidman, Reese Witherspoon, Shailene Woodley, Laura Dern, Adam Scott, Alexander Skarsgård, Zoë Kravitz, James Tupper, Iain Armitage, Jeffrey Nordling, Kathryn Newton, Meryl Streep, Douglas Smith, Darby Camp, Chloe Coleman, Cameron Crovetti, Nicholas Crovetti",,,,
Hackerville,"Drama, Mystery & Thriller, Action & Adventure",53min,79%  7.1 (1k),Igor Cobileanski,TV-MA,(2018),", Anna Schumacher, Voicu Dumitraș, Ada Lupu, Andi Vasluianu, Sabin Tambrea, Călin Chirilă, Toto Dumitrescu",,,,
Four Weddings and a Funeral,"Comedy, Romance",48min,80%  7.2 (5k),,TV-MA,(2019),", Nathalie Emmanuel, Nikesh Patel, Rebecca Rittenhouse, John Reynolds, Brandon Mychal Smith, Zoe Boyle, Sophia La Porta, Rakhee Thakrar, Hector Bateman-Harden",,,1 Season HD ,
Light as a Feather,"Drama, Fantasy, Horror, Mystery & Thriller",24min,81%  6.5 (3k),,TV-14,(2018),", Liana Liberato, Haley Ramm, Brianne Tju, Dylan Sprayberry, Jordan Rodrigues, Brent Rivera, Katelyn Nacon, Adriyan Rae",,,2 Seasons HD ,
Blue Bloods,"Drama, Crime, Mystery & Thriller",42min,86%  7.7 (41k),,TV-14,(2010),", Tom Selleck, Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou, Vanessa Ray, Andrew Terraciano, Gregory Jbara, Robert Clohessy, Abigail Hawk, Marisa Ramirez, Steve Schirripa",,,9 Seasons HD ,
Veronica Mars,"Mystery & Thriller, Drama, Comedy, Crime",44min,89%  8.4 (74k),,TV-14,(2004),", Kristen Bell, Enrico Colantoni, Jason Dohring",,,4 Seasons HD ,
Killer Unknown,Reality TV,42min,34%  7.0,,TV-14,(2018),,,,,
Love It or List It,Reality TV,40min,70%  6.4 (2k),,TV-G,(2008),", Hilary Farr, David Visentin",,,,
Clique,"Crime, Mystery & Thriller, Drama, Comedy, Action & Adventure, Made in Europe",44min,73%  6.9 (3k),,TV-MA,(2017),", Emma Appleton, Synnøve Karlsen, Ella-Rae Smith, Aisling Franciosi, Louise Brealey, Rachel Hurd-Wood",,,2 Seasons HD ,
Harlots,"Drama, Made in Europe",49min,84%  7.7 (9k),,TV-MA,(2017),", Rosalind Eleazar, Danny Sapani, Roy Beck, Bronwyn James, Ben Lambert, Ash Hunter, Alfie Allen",,,3 Seasons HD ,
The Amazing World of Gumball,"Science-Fiction, Fantasy, Romance, Animation, Comedy, Kids & Family",10min,93%  8.3 (33k),Mic Graves,TV-Y7,(2011),", Sandra Dickinson, Kerry Shale, Dan Russell, Teresa Gallagher, Kyla Rae Kowalewski, Jessica McDonald, Stefan Ashton Frank",,,6 Seasons HD ,
Chernobyl,"Drama, Mystery & Thriller, History",1h 5min,98%  9.4 (762k),,TV-MA,(2019),", Jared Harris, Stellan Skarsgård, Emily Watson, Paul Ritter, Jessie Buckley, Adam Nagaitis, Sam Troughton, Robert Emms, Con O'Neill, Adrian Rawlins, Alan Williams, David Dencik, Mark Lewis Jones, Ralph Ineson, Barry Keoghan, Alex Ferns, Fares Fares, Michael McElhatton",,,,
Nightwatch Nation,"Reality TV, Crime",42min,49%,,TV-14,(2018),,,,1 Season HD ,
Project Runway,Reality TV,57min,74%  7.4 (11k),Ariel Boles,TV-PG,(2004),", Christian Siriano, Brandon Maxwell, Nina Garcia, Meg Ferguson, Kenneth Barlis, Darren Apolonio, Sabrina Spanta, Katie Kortman, Octavio Aguilar, Zayden Skipper, Prajjé Oscar Jean-Baptiste, Anna Yinan Zhou, Aaron Michael, Bones Jones, Chasity Sereal, Coral Castillo, Kristina Kharlashkina, Shantall Lacayo, Elaine Welteroth, Caycee Black",,,4 Seasons HD ,
Stargate SG-1,"Science-Fiction, Action & Adventure, Drama",44min,92%  8.4 (90k),,TV-PG,(1997),", Ben Browder, Amanda Tapping, Christopher Judge, Michael Shanks, Gary Jones, Claudia Black, Beau Bridges, Tony Amendola",10 Seasons ,,,
El Jardin De Bronce,"Crime, Drama, Horror, Mystery & Thriller",55min,83%  7.8 (1k),,TV-MA,(2017),", Joaquín Furriel, Julieta Zylberberg, Gerardo Romano, Romina Paula, Mario Pasik, Claudio Da Passano, Alan Sabbagh",,,,
The Bravest Knight,"Animation, Kids & Family",11min,75%  6.8,Shabnam Rezaei,TV-G,(2019),", Storm Reid, Bobby Moynihan, T.R. Knight, Chance Hurstfield, Wilson Cruz, Teri Polo",,,1 Season HD ,
The Riveras,Reality TV,43min,92%  7.7,,TV-PG,(2016),,,,4 Seasons HD ,
12 Monkeys,"Science-Fiction, Drama, Mystery & Thriller",43min,83%  7.7 (45k),,TV-14,(2015),", Aaron Stanford, Amanda Schull, Barbara Sukowa, Emily Hampshire, Alisen Down, Todd Stashwick",,,4 Seasons HD ,
The Bomber,"War & Military, Documentary",50min,47%  8.6,,,(2022),,,,1 Season HD ,
The Weekly,"Sport, Documentary",36min,63%  7.1,,TV-MA,(2019),,,,1 Season HD ,
Blinded by the Lights,"Drama, Crime, Made in Europe",1h 0min,83%  7.8 (3k),,,(2018),", Marzena Pokrzywinska, Kamil Nożyński, Janusz Chabior, Jan Frycz, Robert Więckiewicz, Marta Malikowska, Jacek Beler, Jaśmina Polak",,,,
Angie Tribeca,"Action & Adventure, Comedy, Crime",21min,76%  7.0 (9k),,TV-14,(2016),", Rashida Jones, Jere Burns, Andree Vermeulen, Kiersey Clemons, Bobby Cannavale",,,4 Seasons HD ,
Broad City,"Drama, Comedy",22min,86%  8.4 (32k),,TV-MA,(2014),", Abbi Jacobson, Ilana Glazer, Hannibal Buress, Paul W. Downs, Arturo Castro, Chris Gethard, Nicole Drespel, John Gemberling",,,5 Seasons HD ,
The Big Valley,"Western, Drama",1h 0min,74%  7.6 (3k),,,(1965),", Barbara Stanwyck, Richard Long, Peter Breck, Lee Majors, Linda Evans",4 Seasons ,,,
Baywatch,"Action & Adventure, Crime, Drama, Romance",46min,64%  5.3 (27k),,TV-PG,(1989),", Michael Bergin, Jason Momoa, Stacy Kamano, Jason Brooks, Krista Allen, Brande Roderick, Charlie Brumbly",9 Seasons HD ,,,
Beat Shazam,"Reality TV, Kids & Family, Music & Musical",41min,62%  6.1,,TV-14,(2017),", Jamie Foxx",,,2 Seasons HD ,
Catch-22,"Drama, War & Military, Comedy, Action & Adventure, Mystery & Thriller, Crime",44min,83%  7.8 (17k),Grant Hesloff,TV-MA,(2019),", Christopher Abbott, Kyle Chandler, Daniel David Stewart, Rafi Gavron, Graham Patrick Martin, Kevin J. O'Connor, Austin Stowell, Jon Rudnitsky, Gerran Howell, Tessa Ferrer, Lewis Pullman, Grant Heslov, Jay Paulson, George Clooney",,,1 Season HD ,
Diesel Brothers,"Reality TV, Comedy",45min,80%  6.5,,TV-14,(2016),", Dave Spark",,,,
Entre Nos,Kids & Family,36min,4%,,,(2017),,,,,
Good Bones,Reality TV,43min,87%  7.5,,TV-G,(2015),", Mina Starsiak Hawk",,,,
Professional Fighters League,Sport,1h 46min,38%  7.8,,,(2018),,,,,
RobiHachi,"Science-Fiction, Action & Adventure, Animation, Comedy",24min,66%  5.8,,,(2019),", Kazuya Nakai, Keisuke Komoto, Tomokazu Sugita",,,1 Season HD ,
Afterlost,"Drama, Mystery & Thriller, Science-Fiction, Animation, Action & Adventure, Romance, Fantasy",23min,57%  5.2,,,(2019),", Nishimura Taisuke, Hina Suguta, Haruka Shamoto, Aguri Oonishi, Hikari Sonoyama, Masaki Terasoma, Hidenori Takahashi, Yoshitsugu Matsuoka, Makoto Takahashi, Yoshitaka Yamaya, Ryota Suzuki, Tomoyo Kurosawa, Natsumi Hioka, Tarusuke Shingaki, Emiri Iwai, Nobunaga Shimazaki, Tomokazu Sugita, Ayaka Asai, Kana Hanazawa, Aimi, Ayane Sakura, Asami Imai, KENN, Yuichi Nakamura, Mitsuki Nakae",,,1 Season HD ,
Fairy gone,"Action & Adventure, Science-Fiction, Animation, Fantasy",23min,65%  5.7,,,(2019),", Tomoaki Maeno, Kana Ichinose, Ayaka Fukuhara, Yoshimasa Hosoya",,,1 Season HD ,
MIX,Reality TV,30min,4%,,TV-14,(2017),", Tamee Harrison",,,,
Drunk History,"Comedy, History, Kids & Family",21min,80%  7.8 (11k),,TV-14,(2013),", Derek Waters",,,3 Seasons HD ,
I Am the Night,"Crime, Drama, Mystery & Thriller",51min,73%  6.9 (8k),,,(2019),", Chris Pine, India Eisley, Jefferson Mays, Leland Orser, Yul Vazquez, Justin Cornwell, Connie Nielsen, Dylan Smith, Jay Paulson",,,1 Season HD ,
One-Punch Man,"Action & Adventure, Animation, Comedy, Fantasy, Science-Fiction, Drama, Horror",21min,94%  8.7 (162k),,TV-PG,(2015),", Kazuhiro Yamaji, Yuichi Nakamura, Kenjiro Tsuda, Aoi Yuki, Hiroki Yasumoto, Saori Hayami, Makoto Furukawa, Kaito Ishikawa, Hikaru Midorikawa",,,,
Barefoot Contessa,"Documentary, Kids & Family, Reality TV",23min,73%  7.5,,TV-G,(2002),", Ina Garten",,,,
The Last Alaskans,"Documentary, Reality TV, Drama, Science-Fiction, Kids & Family, Action & Adventure",43min,83%  8.6,,TV-14,(2015),", Heimo Korth, Edna Korth",,,,
The Last Ship,"Action & Adventure, Drama, Science-Fiction, War & Military, Mystery & Thriller",42min,79%  7.4 (59k),,TV-14,(2014),", Eric Dane, Adam Baldwin, Charles Parnell, Travis Van Winkle, Christina Elmore, Jocko Sims, Kevin Michael Martin, Michael Curran-Dorsano, Jodie Turner-Smith",,,5 Seasons HD ,
Cults and Extreme Belief,Documentary,42min,78%  7.4,,TV-14,(2018),", Elizabeth Vargas",,,1 Season HD ,
Cardinal,"Drama, Crime, Mystery & Thriller",43min,81%  7.8 (10k),,TV-MA,(2017),", Billy Campbell, Karine Vanasse",,,4 Seasons HD ,
Miami Vice,"Drama, Mystery & Thriller, Action & Adventure, Crime",49min,83%  7.5 (27k),,TV-14,(1984),", Don Johnson, Philip Michael Thomas, Saundra Santiago, Olivia Brown, Michael Talbott, Edward James Olmos",,,,
Mental Samurai,,43min,72%  5.7,,TV-PG,(2019),", Rob Lowe",,,1 Season HD ,
The Act,"Crime, Drama, Mystery & Thriller",53min,85%  7.9 (28k),,,(2019),", Patricia Arquette, Joey King, AnnaSophia Robb, Chloë Sevigny, Calum Worthy",,,1 Season HD ,
MasterChef Junior,"Reality TV, Kids & Family",43min,75%  6.8 (2k),,TV-PG,(2013),", Aarón Sánchez, Gordon Ramsay, Daphne Oz",,,8 Seasons HD ,
American Gods,"Drama, Science-Fiction, Fantasy",54min,81%  7.6 (87k),,,(2017),", Ricky Whittle, Ian McShane, Emily Browning, Bruce Langley, Yetide Badaki",1 Season HD ,,,
Hang-Ups,Comedy,23min,72%  6.4,,,(2018),", Stephen Mangan, Katherine Parkinson, Bebe Cave, Fionn O'Shea, Karl Theobald, Steve Oram",,,,
Stan Against Evil,"Science-Fiction, Comedy, Fantasy, Horror",21min,77%  7.3 (6k),,TV-14,(2016),", John C. McGinley, Janet Varney, Nate Mooney, Deborah Baker Jr.",,,3 Seasons HD ,
Outlaw Star,"Science-Fiction, Mystery & Thriller, Animation, Action & Adventure, Comedy, Drama, Western",25min,85%  7.9 (3k),"Mitsuru Hongo ,  Yuuji Yamaguchi",TV-14,(1998),", Shigeru Shibuya, Rica Matsumoto, Ayako Kawasumi, Sayuri, Yuko Miyamura, Toshihiko Seki, Kazuhiro Nakata, Tsutomu Kashiwakura",,,1 Season HD ,
Murder on the Internet,"Documentary, Crime",43min,36%  6.4,,,(2017),,,,1 Season HD ,
Fairy Tail,"Action & Adventure, Science-Fiction, Animation, Comedy, Fantasy",24min,87%  7.9 (25k),Shinji Ishihira,TV-14,(2009),", Tetsuya Kakihara, Aya Hirano, Rie Kugimiya, Yuichi Nakamura, Sayaka Ohara, Satomi Sato, Yui Horie, Hiroki Yasumoto, Wataru Hatano, Hiroki Touchi, Mai Nakahara, Katsuyuki Konishi, Ryoko Ono, Daisuke Namikawa, Eri Kitamura, Shinpachi Tsuji, Mamiko Noto, Takahiro Sakurai, Kenichi Suzumura, Fuyuka Ono, Masafumi Kimura, Tsubasa Yonaga, Akiko Yajima, Satomi Korogi, Kikuko Inoue, Eiji Miyashita, Yoshimitsu Shimoyama, Shizuka Itoh, Yoshimitsu Shimoyama, Eiji Miyashita, Yutaka Aoyama, Yuki Kaji, Yuka Iguchi, Daisuke Kishio, Show Hayami, Takashi Kondo, Fuyuka Ono, Masaya Matsukaze, Kaori Nazuka, Saori Hayami, Harumi Sakurai, Rie Murakawa, Miki Narahashi, Eiji Miyashita, Yoshimitsu Shimoyama, Eiji Sekiguchi, Kenjiro Tsuda, Daisuke Namikawa, Miyuki Sawashiro, Saori Goto, Takaya Kuroda, Keiji Fujiwara, Anri Katsu, Masafumi Kimura",,,2 Seasons HD ,
The Bob Newhart Show,Comedy,27min,85%  8.1 (6k),,TV-PG,(1972),", Bob Newhart, Suzanne Pleshette, Bill Daily, Marcia Wallace, Peter Bonerz",6 Seasons ,,,
WTF Baron Davis,Comedy,12min,45%  8.2,,,(2019),,,,,
Nostradamus Effect,"Documentary, History",44min,65%  5.0,,,(2009),,,,1 Season HD ,
The Pillars Of The Earth,"Drama, War & Military, History, Romance, Mystery & Thriller",59min,85%  8.0 (31k),,TV-14,(2010),", Robert Bathurst, Donald Sutherland, Matthew Macfadyen, Rufus Sewell, Ian McShane, Eddie Redmayne, Natalia Wörner, Hayley Atwell, David Oakes, Tony Curran, Alison Pill, Sarah Parish, Liam Garrigan, Götz Otto, Sam Claflin, Jody Halse, Anatole Taubman, Skye Bennett, John Pielmeier, Matt Devere, Gordon Pinsent, Ken Follett, Féodor Atkine, Virág Bárány, Freddie Boath, Barnabás Réti, Piroska Molnár, Lisa Millett, Clive Wood, Richard Rifkin, László Áron, Kelly Banlaki, David Bark-Jones, Tamás Baross, Tatiana Turner, Michael Mehlmann, Skye Lourie, Peter Linka, Mark Phelan, Douglas Booth",,,,
Dead by Dawn,"Documentary, Horror",44min,57%  7.3,,TV-14,(2019),", James R. Baylis",,,1 Season HD ,
Ally McBeal,"Drama, Comedy, Fantasy, Music & Musical, Romance",44min,74%  6.9 (34k),,,(1997),", Calista Flockhart, Greg Germann, Jane Krakowski, Regina Hall, Vonda Shepard, Portia de Rossi, Julianne Nicholson, James Marsden, Josh Hopkins, Hayden Panettiere",5 Seasons ,,5 Seasons HD ,
The X-Files,"Science-Fiction, Crime, Drama, Mystery & Thriller",45min,94%  8.6 (229k),,TV-14,(1993),", David Duchovny, Gillian Anderson, Mitch Pileggi",,,11 Seasons HD ,
The Orville,"Science-Fiction, Comedy, Drama, Kids & Family",53min,86%  8.0 (67k),,TV-14,(2017),", Seth MacFarlane, Adrianne Palicki, Penny Johnson Jerald, Scott Grimes, Peter Macon, Jessica Szohr, J. Lee, Mark Jackson, Anne Winters",,3 Seasons HD ,,
Mighty Magiswords,"Action & Adventure, Science-Fiction, Animation, Kids & Family, Fantasy, Comedy",13min,54%  4.6 (1k),,TV-Y7,(2016),", Kyle A. Carrozza, Grey DeLisle",,,,
Polly Pocket,"Animation, Kids & Family, Fantasy, Comedy",14min,70%  6.0,,,(2018),", Rhona Rees, Shannon Chan-Kent, Kazumi Evans, Patricia Drake, Emily Tennant",,,,
He-Man and the Masters of the Universe,"Action & Adventure, Animation, Fantasy, Science-Fiction, Kids & Family",24min,81%  7.5 (3k),,TV-Y7,(2002),", Cam Clarke, Garry Chalk, Lisa Ann Beley, Nicole Oliver, Brian Dobson, Michael Donovan, Gabe Khouth, Kathleen Barr, Christopher Judge, Don Brown, John Payne, Mark Acheson, Mark Gibbon",,,,
The Killing,"Mystery & Thriller, Drama, Crime",58min,89%  8.4 (27k),,TV-MA,(2007),", Sofie Gråbøl, Morten Suurballe, Nikolaj Lie Kaas, Sigurd Holmen le Dous, Anders W. Berthelsen, Stig Hoffmayer, Olaf Johannessen, Jonatan Spang, Trine Pallesen, Tammi Øst, Peter Mygind, Helle Fagralid",,,,
Boston Legal,"Drama, Comedy, Crime",58min,90%  8.5 (47k),,TV-PG,(2004),", James Spader, William Shatner, Candice Bergen, John Larroquette, Tara Summers, Christian Clemenson",5 Seasons HD ,,,
Burn Notice,"Action & Adventure, Drama, Crime, Mystery & Thriller",43min,85%  8.0 (75k),,TV-PG,(2007),", Jeffrey Donovan, Sharon Gless, Bruce Campbell, Coby Bell, Gabrielle Anwar",,,7 Seasons HD ,
White Collar,"Drama, Comedy, Crime",44min,92%  8.3 (133k),,TV-PG,(2009),", Matt Bomer, Tim DeKay, Willie Garson, Tiffani Thiessen, Marsha Thomason, Sharif Atkins",,,6 Seasons HD ,
Deutschland 86,"Drama, Action & Adventure, Crime, War & Military, Mystery & Thriller, History",47min,42%  7.6 (4k),,,(2018),", Sylvester Groth, Jonas Nay, Vladimir Burlakov, Maria Schrader, Lavinia Wilson, Anke Engelke, Carina Wiese, Uwe Preuss, Michaela Caspar, Maria Schrader, Florence Kasumba, Jonas Nay, Sylvester Groth, Sonja Gerhardt, Arnd Klawitter, Fritzi Haberlandt, Philipp Hochmair, Vladimir Burlakov, Ludwig Trepte, Alexander Beyer, Jonathan Pienaar",,,1 Season HD ,
Graves,"Drama, Comedy, Fantasy, Horror",19min,70%  7.5,,TV-MA,(2016),", Nick Nolte, Sela Ward, Callie Hernandez, Heléne Yorke, Chris Lowell, Skylar Astin",,,2 Seasons HD ,
Adventure Time,"Science-Fiction, Animation, Action & Adventure, Comedy, Kids & Family, Fantasy",13min,94%  8.6 (97k),,TV-PG,(2010),", Pendleton Ward, Olivia Olson, Jeremy Shada, John DiMaggio, Tom Kenny, Hynden Walch, Niki Yang, Polly Lou Livingston",,,10 Seasons HD ,
24,"Action & Adventure, Drama, Mystery & Thriller, Crime",44min,90%  8.4 (188k),,TV-14,(2001),", Kiefer Sutherland, Kim Raver, Mary Lynn Rajskub, William Devane, Yvonne Strahovski, Benjamin Bratt, Gbenga Akinnagbe, Michelle Fairley, Miranda Raison, Ross McCall, Colin Salmon, Michael Wincott, Tate Donovan, Stephen Fry, Emily Berrington",,,9 Seasons HD ,
Hollywood Game Night,Comedy,44min,76%  7.3 (1k),,TV-14,(2013),", Jane Lynch",,,,
Shark,"Drama, Mystery & Thriller, Crime",51min,77%  7.1 (11k),,TV-14,(2006),", James Woods, Danielle Panabaker, Jeri Ryan, Alexis Cruz, Sarah Carter, Henry Simmons, Sophina Brown, Kevin Alejandro",,,2 Seasons HD ,
The Bisexual,"Comedy, Drama, Crime",29min,73%  6.4 (1k),Desiree Akhavan,,(2018),", Desiree Akhavan, Maxine Peake, Brian Gleeson, Saskia Chana, Michèlle Guillot, Naomi Ackie, Cassie Clare, Niamh Algar",,,1 Season HD ,
Living With Fran,"Comedy, Romance",30min,76%  5.7 (1k),,,(2005),", Fran Drescher, Misti Traya, Ben Feldman, Ryan McPartlin",,,,
Dietland,"Comedy, Drama",44min,70%  6.7 (2k),,TV-MA,(2018),", Joy Nash, Julianna Margulies, Robin Weigert, Tamara Tunie, Erin Darke, Adam Rothenberg, Tramell Tillman, Will Seefried, Rowena King, Ricardo Dávila",,,1 Season HD ,
King of the Hill,"Comedy, Animation, Drama",23min,82%  7.5 (54k),,TV-PG,(1997),", Mike Judge, Kathy Najimy, Pamela Adlon, Johnny Hardwick, Stephen Root, Brittany Murphy, Toby Huss, Lauren Tom, Ashley Gardner",,,13 Seasons HD ,
SIX,Drama,37min,4%,,,(1964),,,,,
The Bernie Mac Show,"Comedy, Drama, Kids & Family",22min,74%  7.1 (8k),,TV-PG,(2001),", Bernie Mac, Jeremy Suarez, Camille Winbush, Dee Dee Davis, Kellita Smith",5 Seasons ,,5 Seasons HD ,
Alguien te Mira,"Mystery & Thriller, Crime, Horror, Drama",42min,93%  7.5,,,(2010),", Nicole Arci, Jeniree Blanco, Andres Cotrino, Carlos Garin, Cynthia Olavarría, Rafael Amaya, Geraldine Bazán, Yul Bürkle, Angélica Celaya, David Chocarro, Arianna Coltellacci, Rodrigo de la Serna, Ximena Duque, Jean-Daniel Fernandez-Qundez, Diana Franco, Danna García, Christian Meier, Zuleyka Rivera, Duvier Poviones, Héctor Soberón, Cristina Figarola, Carolina Tejera",,,1 Season HD ,
Speechless,Comedy,21min,80%  7.5 (8k),,TV-PG,(2016),", Minnie Driver, John Ross Bowie, Mason Cook, Micah Fowler, Kyla Kenedy, Cedric Yarbrough",,,3 Seasons HD ,
The Practice,"Drama, Mystery & Thriller, Crime, Romance",45min,85%  7.7 (9k),,TV-14,(1997),", Steve Harris, Camryn Manheim, Michael Badalucco, Jessica Capshaw, James Spader, Rhona Mitra",8 Seasons ,,,
Dot,"Animation, Kids & Family",11min,43%  7.7,,TV-Y7,(2017),", Isaiah Slater, Grace Oliver, Ethan Tavares, Terry McGurrin, Abigail Oliver, Lilly Bartlam, Art Hindle",,,,
La Diosa Coronada,Drama,41min,77%  7.5,,,(2010),,,,1 Season HD ,
10 Things I Hate About You,Comedy,22min,78%  7.2 (6k),,TV-14,(2009),", Lindsey Shaw, Nicholas Braun, Larry Miller, Meaghan Jette Martin, Chris Zylka, Ethan Peck, Dana Davis, Ally Maki",,,1 Season HD ,
Baby Daddy,"Comedy, Drama, Kids & Family, Romance",22min,73%  6.0,,TV-14,(2012),", Jean-Luc Bilodeau, Tahj Mowry, Derek Theler, Melissa Peterman, Chelsea Kane",,,6 Seasons HD ,
Cougar Town,"Comedy, Romance",23min,74%  7.0 (44k),,TV-14,(2009),", Courteney Cox, Christa Miller, Busy Philipps, Dan Byrd, Josh Hopkins, Ian Gomez",,,6 Seasons HD ,
Dama y Obrero,"Comedy, Drama, Kids & Family, Romance, Mystery & Thriller, Action & Adventure",45min,53%  7.6,,TV-14,(2013),", José Luis Reséndez, Ana Layevska, Fabián Ríos, Felicia Mercado, Diana Quijano, Shalim Ortiz, Mónica Sánchez Navarro",,,1 Season HD ,
Greek,"Comedy, Drama, Kids & Family",45min,79%  7.6 (24k),,TV-14,(2007),", Amber Stevens West, Spencer Grammer, Clark Duke, Dilshad Vadsaria, Jacob Zachar, Paul James, Scott Michael Foster, Jake McDorman",,,4 Seasons HD ,
Legit,Comedy,22min,84%  8.1 (8k),,,(2013),", Jim Jefferies, Dan Bakkedahl, DJ Qualls, Mindy Sterling, Sonya Eddy, John Ratzenberger, Denzel Whitaker",,,2 Seasons HD ,
Lincoln Heights,"Drama, Kids & Family, Comedy",42min,90%  7.7 (1k),,TV-14,(2007),", Russell Hornsby, Nicki Micheaux, Erica Hubbard, Rhyon Nicole Brown, Mishon Ratliff, Robert Adamson",,,4 Seasons HD ,
Make It or Break It,"Drama, Comedy, Sport",45min,84%  7.5 (10k),,TV-14,(2009),", Rosa Blasi, Jason Manuel Olazabal, Dondre Whitfield, Anthony Starke, Josie Loren, Ayla Kell, Cassandra Scerbo",,,3 Seasons HD ,
Out There,"Drama, Comedy, Kids & Family",30min,44%  7.8,,,(2003),", Douglas Smith, David Roberts, Cody Kasch, Jade Ewen, Molly McCaffrey, Richard Wilson",,,,
The League,"Comedy, Drama, Sport",23min,85%  8.3 (49k),,TV-MA,(2009),", Mark Duplass, Stephen Rannazzisi, Nick Kroll, Paul Scheer, Jon Lajoie, Katie Aselton",,,7 Seasons HD ,
The Mary Tyler Moore Show,Comedy,28min,86%  8.2 (9k),,TV-PG,(1970),", Mary Tyler Moore, Ed Asner, Gavin MacLeod, Ted Knight, Cloris Leachman, Georgia Engel, Betty White",7 Seasons ,,7 Seasons HD ,
The Riches,"Drama, Comedy, Crime",48min,81%  7.8 (8k),,TV-MA,(2007),", Eddie Izzard, Minnie Driver, Shannon Woodward, Noel Fisher, Aidan Mitchell, Todd Stashwick, Gregg Henry, Margo Martindale, Bruce French, Nichole Hiltz",,,2 Seasons HD ,
The Secret Life of the American Teenager,"Drama, Comedy, Kids & Family, Romance",43min,68%  4.9 (20k),,TV-14,(2008),", Shailene Woodley, Megan Park, Daren Kagasoff, Ken Baumann, Greg Finley, Francia Raisa, Steve Schirripa, Michael Grant, Cierra Ramirez, Amy Rider",,,5 Seasons HD ,
Ugly Betty,"Comedy, Romance, Drama",52min,72%  6.7 (44k),,TV-PG,(2006),", America Ferrera, Eric Mabius, Vanessa Williams, Tony Plana, Mark Indelicato, Ana Ortiz, Daniel Eric Gold, Judith Light, Michael Urie, Arap Bethke",,,4 Seasons HD ,
Star,"Kids & Family, Comedy",1h 1min,43%  7.6,,TV-G,(2003),", Nicholas Hoult",,,,
The Gifted,"Action & Adventure, Drama, Science-Fiction, Fantasy, Comedy, Music & Musical, Reality TV",44min,83%  7.3 (34k),,TV-14,(2017),", Stephen Moyer, Amy Acker, Natalie Alyn Lind, Percy Hynes White, Sean Teale, Blair Redford, Emma Dumont, Jamie Chung, Skyler Samuels, Coby Bell, Grace Byers",,,2 Seasons HD ,
Good Behavior,"Drama, Crime, Mystery & Thriller",48min,81%  8.0 (11k),,TV-MA,(2016),", Michelle Dockery, Juan Diego Botto, Lusia Strus, Terry Kinney, Nyles Steele, Joey Kern",,,2 Seasons HD ,
The First,"Science-Fiction, Drama, Romance",51min,71%  6.6 (7k),,TV-MA,(2018),", Sean Penn, Natascha McElhone, Oded Fehr, Anna Jacoby-Heron, Hannah Ware",,,1 Season HD ,
Chopped Junior,"Reality TV, Kids & Family",43min,87%  6.4,,TV-G,(2015),", Ted Allen",,,,
